"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1090","test_hotel_list","test","Wed Nov 20 18:17:12 GMT 2024","passed","Wed Nov 20 18:17:13 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","1981","Hootel Login","test","Wed Nov 20 18:17:08 GMT 2024","passed","Wed Nov 20 18:17:10 GMT 2024","TestHootel","test_hootel","",""
